#---Header
EC or Barrel:                SE
Module Type:                 M1
Module ref. Number:          N/A
Date:                        2023-05-03T21:12:02.251118+0200
Institute:                   Uppsala Universitet
Operator:                    Xiangyu XU
Instrument type:             OGP SmartScope Flash 200
Run Number:                  3
Measurement program version: v.23.04.12
#---Positions
#Location         X [mm]        Y [mm]
H_R1H0_P1         +007.9908     -058.4485
H_R1H0_P2         +108.6198     -061.1894
H_R1H1_P1         +003.4498     -020.5504
H_R1H1_P2         +077.5764     -041.2766
PB_P1             +106.7724     -033.5320
PB_P2             +106.7824     -033.5340
#---Glue heights:
# Location    Type      X [mm]       Y [mm]       Z [mm]
ABC_R1H1_1    2         +013.4080    -019.6635    +000.3554
ABC_R1H1_1    2         +013.4485    -021.9936    +000.3471
ABC_R1H1_1    2         +022.3209    -021.5489    +000.3372
ABC_R1H1_1    2         +022.1176    -018.7642    +000.3547
ABC_R1H1_2    2         +023.3725    -018.9488    +000.3518
ABC_R1H1_2    2         +023.3749    -021.2860    +000.3353
ABC_R1H1_2    2         +032.2468    -021.0108    +000.3358
ABC_R1H1_2    2         +031.9524    -018.2343    +000.3523
ABC_R1H1_3    2         +033.3348    -018.4100    +000.3487
ABC_R1H1_3    2         +033.3013    -020.7425    +000.3393
ABC_R1H1_3    2         +041.9424    -017.8478    +000.3347
ABC_R1H1_3    2         +042.1802    -020.6318    +000.3157
ABC_R1H1_4    2         +043.2445    -020.3845    +000.3134
ABC_R1H1_4    2         +043.3271    -018.0471    +000.3371
ABC_R1H1_4    2         +051.9215    -017.6502    +000.3617
ABC_R1H1_4    2         +052.1283    -020.4384    +000.3287
ABC_R1H1_5    2         +053.1700    -020.2130    +000.3228
ABC_R1H1_5    2         +053.2980    -017.8844    +000.3552
ABC_R1H1_5    2         +062.0192    -017.6382    +000.3323
ABC_R1H1_5    2         +062.0540    -020.4219    +000.2906
ABC_R1H1_6    2         +063.1199    -020.2226    +000.2938
ABC_R1H1_6    2         +063.2726    -017.8788    +000.3269
ABC_R1H1_6    2         +072.1446    -017.8115    +000.3207
ABC_R1H1_6    2         +071.9893    -020.6034    +000.2851
ABC_R1H1_7    2         +073.0323    -020.3974    +000.2876
ABC_R1H1_7    2         +073.2522    -018.0852    +000.3203
ABC_R1H1_7    2         +081.8369    -018.1633    +000.3124
ABC_R1H1_7    2         +081.8903    -020.9361    +000.2973
ABC_R1H1_8    2         +082.9469    -020.7783    +000.2877
ABC_R1H1_8    2         +083.2008    -018.4574    +000.3105
ABC_R1H1_8    2         +092.0471    -018.6899    +000.3140
ABC_R1H1_8    2         +091.8059    -021.4720    +000.2876
ABC_R1H1_9    2         +092.8598    -021.3311    +000.2866
ABC_R1H1_9    2         +093.1558    -019.0086    +000.3059
ABC_R1H1_9    2         +101.7672    -019.4185    +000.2644
ABC_R1H1_9    2         +101.6966    -022.1921    +000.2435
ABC_R1H1_10   2         +102.7642    -022.0769    +000.2454
ABC_R1H1_10   2         +103.0943    -019.7397    +000.2605
ABC_R1H1_10   2         +111.6769    -020.2883    +000.2732
ABC_R1H1_10   2         +111.5691    -023.0765    +000.2520
PB_0          2         +107.9427    -038.6693    +000.4372
PB_1          2         +093.6609    -045.2588    +000.4793
PB_2          2         +075.4003    -046.0999    +000.4291
PB_3          2         +076.3909    -031.8282    +000.4577
PB_4          2         +057.5173    -035.8066    +000.2760
#---Other heights:
# Location     Type     X [mm]       Y [mm]       Z [mm]

H_R1H0_0 is 0.291295 mm above the reference plane.
H_R1H0_1 is 0.317458 mm above the reference plane.
H_R1H0_2 is 0.28745 mm above the reference plane.
HCC_R1H0_4 is 0.373049 mm above the reference plane.
ABC_R1H0_0 is 0.298009 mm above the reference plane.
ABC_R1H0_1 is 0.33651 mm above the reference plane.
ABC_R1H0_2 is 0.35357 mm above the reference plane.
ABC_R1H0_3 is 0.362297 mm above the reference plane.
ABC_R1H0_4 is 0.363893 mm above the reference plane.
ABC_R1H0_5 is 0.354782 mm above the reference plane.
ABC_R1H0_6 is 0.365222 mm above the reference plane.
ABC_R1H0_7 is 0.360201 mm above the reference plane.
ABC_R1H0_8 is 0.362706 mm above the reference plane.
ABC_R1H0_9 is 0.355294 mm above the reference plane.
H_R1H1_0 is 0.234361 mm above the reference plane.
H_R1H1_1 is 0.282267 mm above the reference plane.
H_R1H1_2 is 0.224905 mm above the reference plane.
HCC_R1H1_5 is 0.315895 mm above the reference plane.
ABC_R1H1_0 is 0.348178 mm above the reference plane.
ABC_R1H1_1 is 0.377394 mm above the reference plane.
ABC_R1H1_2 is 0.377277 mm above the reference plane.
ABC_R1H1_3 is 0.372797 mm above the reference plane.
ABC_R1H1_4 is 0.378168 mm above the reference plane.
ABC_R1H1_5 is 0.372941 mm above the reference plane.
ABC_R1H1_6 is 0.359142 mm above the reference plane.
ABC_R1H1_7 is 0.361678 mm above the reference plane.
ABC_R1H1_8 is 0.362069 mm above the reference plane.
ABC_R1H1_9 is 0.342019 mm above the reference plane.
ABC_R1H1_10 is 0.32953 mm above the reference plane.
PB_1 is 0.511173 mm above the reference plane.
PB_2 is 0.547148 mm above the reference plane.
PB_3 is 0.488313 mm above the reference plane.
PB_4 is 0.515828 mm above the reference plane.
PB_5 is 0.325467 mm above the reference plane.

 H_R1H0_P1/2, H_R1H1_P1/2, PB_P1/2
(7.9908, -58.449, 0.30879)
(108.62, -61.189, 0.19578)
(3.4498, -20.55, 0.30632)
(77.576, -41.277, -0.19627)
(106.77, -33.532, 0.48126)
(106.78, -33.534, 0.48119)

H_R1H0_0/1/2/4, ABC_R1H0_0-10, H_R1H1_0/1/2/5, ABC_R1H1_0-11, PB_1-5
0.2913
0.31746
0.28745
0.37305
0.29801
0.33651
0.35357
0.3623
0.36389
0.35478
0.36522
0.3602
0.36271
0.35529
0.23436
0.28227
0.2249
0.3159
0.34818
0.37739
0.37728
0.3728
0.37817
0.37294
0.35914
0.36168
0.36207
0.34202
0.32953
0.51117
0.54715
0.48831
0.51583
0.32547
