#---Header
EC or Barrel:                SE
Module Type:                 M1
Module ref. Number:          N/A
Date:                        2023-04-T22:57:10.853573+0200
Institute:                   Uppsala Universitet
Operator:                    Xiangyu XU
Instrument type:             OGP SmartScope Flash 200
Run Number:                  1
Measurement program version: v.23.04.12
#---Positions
#Location         X [mm]        Y [mm]
H_R1H0_P1         +010.3280     -075.7781
H_R1H0_P2         +108.5742     -061.0723
H_R1H1_P1         +002.7528     -015.7806
H_R1H1_P2         +110.9011     -029.7349
PB_P1             +106.7735     -033.5328
PB_P2             +106.7883     -033.5356
#---Glue heights:
# Location    Type      X [mm]       Y [mm]       Z [mm]
ABC_R1H1_8    2         +092.0478    -018.6897    +000.3064
ABC_R1H1_8    2         +091.8061    -021.4717    +000.2824
ABC_R1H1_9    2         +092.8605    -021.3309    +000.2848
ABC_R1H1_9    2         +093.1565    -019.0083    +000.3031
ABC_R1H1_9    2         +101.7674    -019.4181    +000.2662
ABC_R1H1_9    2         +101.6974    -022.1917    +000.2433
ABC_R1H1_10   2         +102.7645    -022.0764    +000.2452
ABC_R1H1_10   2         +103.0951    -019.7392    +000.2519
ABC_R1H1_10   2         +111.6771    -020.2882    +000.2733
ABC_R1H1_10   2         +111.5699    -023.0765    +000.2550
PB_0          2         +107.9430    -038.6695    +000.4349
PB_1          2         +093.6616    -045.2586    +000.4863
PB_2          2         +075.4009    -046.0998    +000.4280
PB_3          2         +076.3913    -031.8281    +000.4600
PB_4          2         +057.5175    -035.8066    +000.2762
#---Other heights:
# Location     Type     X [mm]       Y [mm]       Z [mm]
