#---Header
EC or Barrel:                SE
Module Type:                 M1
Module ref. Number:          
Date:                        2023-04-T22:10:33.873130+0200
Institute:                   Uppsala Universitet
Operator:                    Xiangyu XU
Instrument type:             OGP SmartScope
Run Number:                  1
Measurement program version: v.23.04.12
#---Positions
#Location         X [mm]        Y [mm]
H_R1H0_P1         +009.2411     -067.7858
H_R1H0_P2         +108.5716     -061.0706
H_R1H1_P1         +002.7515     -015.8128
H_R1H1_P2         +110.6005     -032.9741
PB_P1             +106.7728     -033.5318
PB_P2             +106.7850     -033.5342
#---Glue heights:
# Location    Type      X [mm]        Y [mm]      Z [mm]
ABC_R1H1_8    2         +000.0000    +000.0000    +000.0000
ABC_R1H1_8    2         +000.0000    +000.0000    +000.0000
ABC_R1H1_9    2         +000.0000    +000.0000    +000.0000
ABC_R1H1_9    2         +000.0000    +000.0000    +000.0000
ABC_R1H1_9    2         +000.0000    +000.0000    +000.0000
ABC_R1H1_9    2         +000.0000    +000.0000    +000.0000
ABC_R1H1_10   2         +000.0000    +000.0000    +000.0000
ABC_R1H1_10   2         +000.0000    +000.0000    +000.0000
ABC_R1H1_10   2         +000.0000    +000.0000    +000.0000
ABC_R1H1_10   2         +000.0000    +000.0000    +000.0000
PB_0          2         +107.9425    -038.6696    +000.4289
PB_1          2         +093.6609    -045.2588    +000.4785
PB_2          2         +075.4004    -046.1000    +000.4250
PB_3          2         +076.3908    -031.8283    +000.4568
PB_4          2         +057.5172    -035.8066    +000.2729
#---Other heights:
# Location  Type         X [mm]             Y [mm]           Z [mm]
